,Business Name,Address,City,Permit_ID,Type,Class,Inspection_Date,Inspection_Type,Grade,Priority_Violations,Inspection_Details
0,Casa De Primavera,1617 N 45th Ave  ,Phoenix,FD-00033,Senior Food Service    ,Class 3,03/11/2024,Routine Inspection,B,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-00033&i=5667443
1,North Phoenix Baptist Church,5757 N Central Ave  ,Phoenix,FD-00040,E & D  10+ Seating  ,Class 4,03/11/2024,Routine Inspection,Not Participating,2,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-00040&i=5667786
2,Guadalupe Senior Center,9401 S Avenida Del Yaqui   ,Guadalupe,FD-00042,E & D  10+ Seating  ,Class 4,03/12/2024,Routine Inspection,B,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-00042&i=5668979
3,Kingswood Elementary School,15150 W Mondell Rd  ,Surprise,FD-00157,School Food Service    ,Class 3,03/12/2024,Routine Inspection,Cutting Edge A+,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-00157&i=5668937
4,Circle K Store  No 8689,2708 W Buckeye Rd  ,Phoenix,FD-00267,E & D  0-9 Seating  ,Class 2,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-00267&i=5667942
5,Circle K Store  No 8689,2708 W Buckeye Rd  ,Phoenix,FD-00268,Retail Food Establishment    ,Class 2,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-00268&i=5667944
6,Alexis Grill,3550 N Central Ave Suite 120,Phoenix,FD-00464,E & D  10+ Seating  ,Class 4,03/11/2024,Routine Inspection,Not Participating,2,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-00464&i=5667532
7,Smart & Final  No 491,2742 E Indian School Rd  ,Phoenix,FD-00587,Retail Food Establishment    ,Class 2,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-00587&i=5667905
8,Circle K Store  No 1750,5049 W Peoria Ave  ,Glendale,FD-00638,Retail Food Establishment    ,Class 2,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-00638&i=5667668
9,Circle K Store  No 1750,5049 W Peoria Ave  ,Glendale,FD-00639,E & D  0-9 Seating  ,Class 2,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-00639&i=5667667
10,Tarbell's,3213 E Camelback Rd  ,Phoenix,FD-00747,E & D  10+ Seating  ,Class 4,03/11/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-00747&i=5667910
11,Top Shelf,3301 W Greenway Rd  ,Phoenix,FD-00930,E & D  10+ Seating  ,Class 4,03/11/2024,Routine Inspection,B,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-00930&i=5667666
12,Kiss The Cook,4915 W Glendale Ave  ,Glendale,FD-01031,E & D  10+ Seating  ,Class 4,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-01031&i=5668902
13,McDonald's  No 4422,6710 W Peoria Ave  ,Peoria,FD-01052,E & D  10+ Seating  ,Class 3,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-01052&i=5667385
14,American Legion Post  No 107,20001 N Cave Creek Rd  ,Phoenix,FD-01059,E & D  10+ Seating  ,Class 3,03/11/2024,Routine Inspection,B,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-01059&i=5667392
15,George & Dragon Restaurant,4240 N Central Ave  ,Phoenix,FD-01242,E & D  10+ Seating  ,Class 4,03/12/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-01242&i=5668809
16,Haji Baba Food,1513 E Apache Blvd  ,Tempe,FD-01253,E & D  10+ Seating  ,Class 4,03/11/2024,Routine Inspection,Not Participating,2,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-01253&i=5667776
17,Haji Baba Food,1513 E Apache Blvd  ,Tempe,FD-01279,Retail Food Establishment    ,Class 2,03/11/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-01279&i=5667778
18,Yoshis Restaurant,4050 N Central Ave  ,Phoenix,FD-01293,E & D  10+ Seating  ,Class 4,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-01293&i=5667350
19,Seattle Espresso,1840 E Warner Rd Suite 136,Tempe,FD-01425,E & D  10+ Seating  ,Class 2,03/12/2024,Routine Inspection,B,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-01425&i=5668977
20,American Child Care Center,4715 W Thomas Rd  ,Phoenix,FD-01701,Daycare Food Service    ,Class 3,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-01701&i=5667503
21,Sun Lakes Country Club  No 1,25601 S Sun Lakes Blvd  ,Sun Lakes,FD-01894,E & D  10+ Seating  ,Class 4,03/12/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-01894&i=5668789
22,Ira A. Murphy Elementary School,7231 W North Ln  ,Peoria,FD-01912,School Food Service    ,Class 3,03/11/2024,Routine Inspection,Cutting Edge A+,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-01912&i=5667278
23,Acacia School,3021 W Evans Dr  ,Phoenix,FD-01924,School Food Service    ,Class 3,03/11/2024,Routine Inspection,Cutting Edge A+,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-01924&i=5667393
24,Santa Fe Elementary School,9880 N 77th Ave  ,Peoria,FD-02006,School Food Service    ,Class 3,03/11/2024,Routine Inspection,Cutting Edge A+,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-02006&i=5667188
25,Dobson High School,1501 W Guadalupe Rd  ,Mesa,FD-02069,School Food Service    ,Class 4,03/12/2024,Routine Inspection,Cutting Edge A+,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-02069&i=5668754
26,Honey Baked Ham,5066 W Olive Ave  ,Glendale,FD-02152,Retail Food Establishment    ,Class 2,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-02152&i=5667396
27,Harlows Cafe,1021 W University Dr  ,Tempe,FD-02429,E & D  10+ Seating  ,Class 4,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-02429&i=5667817
28,Discovery Point,6210 E Arbor Ave  ,Mesa,FD-02492,E & D  10+ Seating  ,Class 5,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-02492&i=5667902
